point,f_THz,W_nm,rms_nm,Lc_nm,xi_nm,xi_err_nm,R2,N_prop,xi_ziman_nm,xi_born_law_nm,meas_over_law,Lmax_over_xi
f0.1000_W30.00_r1.0000_Lc5.00,0.1,30.0,1.0,5.0,118405.7,11481.5,0.9824,1,15198.2,152877.8,0.7745,2.11
f0.1275_W30.00_r1.0000_Lc5.00,0.12746794424196192,30.0,1.0,5.0,76667.8,5285.2,0.9721,1,9353.8,97036.0,0.7901,3.26
f0.1625_W30.00_r1.0000_Lc5.00,0.16248076809271922,30.0,1.0,5.0,61897.9,4988.8,0.9754,1,5756.9,62789.7,0.9858,3.04
f0.2071_W30.00_r1.0000_Lc5.00,0.20711089487633885,30.0,1.0,5.0,36761.4,2547.3,0.9685,1,3543.1,41921.6,0.8769,3.42
f0.2500_W12.00_r1.0000_Lc5.00,0.25,12.0,1.0,5.0,5622.2,447.1,0.9946,1,972.7,5071.1,1.1087,2.71
f0.2500_W15.30_r1.0000_Lc5.00,0.25,15.296,1.0,5.0,8675.3,596.6,0.9945,1,1239.9,8239.5,1.0529,2.85
f0.2500_W19.50_r1.0000_Lc5.00,0.25,19.498,1.0,5.0,12396.7,697.2,0.9636,1,1580.4,13387.6,0.926,3.24
f0.2500_W24.85_r1.0000_Lc5.00,0.25,24.853,1.0,5.0,21242.7,1558.9,0.9811,1,2014.5,21752.3,0.9766,3.07
f0.2500_W30.00_r0.4000_Lc5.00,0.25,30.0,0.4,5.0,170235.5,14900.3,0.9985,1,15198.2,198088.9,0.8594,1.47
f0.2500_W30.00_r0.6325_Lc5.00,0.25,30.0,0.6325,5.0,75576.1,5377.9,0.9716,1,6079.3,79235.6,0.9538,3.15
f0.2500_W30.00_r1.0000_Lc5.00,0.25,30.0,1.0,5.0,30327.2,2140.1,0.9787,1,2431.7,31694.2,0.9569,3.14
f0.2500_W30.00_r1.5811_Lc5.00,0.25,30.0,1.5811,5.0,13572.9,1131.1,0.9584,1,972.7,12677.7,1.0706,2.8
f0.2500_W30.00_r2.5000_Lc5.00,0.25,30.0,2.5,5.0,5050.5,423.4,0.9791,1,389.1,5071.1,0.9959,3.01
f0.2500_W31.68_r1.0000_Lc5.00,0.25,31.68,1.0,5.0,34106.7,2266.9,0.9779,1,2567.9,35343.4,0.965,3.11
f0.2640_W30.00_r1.0000_Lc5.00,0.264,30.0,1.0,5.0,33107.7,2696.1,0.9842,1,2180.6,29449.3,1.1242,2.67
