f_THz,gamma_per_site,xi_nm,IDOS,p,q,residual
14.386,0.00839,29.9,0.38197,1,-1,6.6e-07
17.213,0.0029,86.5,0.47213,-2,4,2.6e-06
18.792,0.00356,70.3,0.52787,3,-4,2.6e-06
19.693,0.0017,147.4,0.5623,-5,9,5.9e-06
21.04,0.01744,14.4,0.61803,0,1,6.6e-07
22.222,0.00284,88.1,0.67377,5,-7,4.6e-06
22.859,0.00345,72.6,0.7082,-3,6,3.9e-06
23.76,0.01155,21.7,0.76393,2,-2,1.3e-06
24.222,0.00185,135.1,0.79837,-6,11,7.2e-06
24.479,0.00239,104.7,0.81967,7,-10,6.6e-06
24.826,0.00812,30.8,0.8541,-1,3,2e-06
25.239,0.00516,48.5,0.90983,4,-5,3.3e-06
